date,신용거래융자_전체,신용거래융자_유가증권,신용거래융자_코스닥,신용거래대주_전체,신용거래대주_유가증권,신용거래대주_코스닥,청약자금대출,예탁증권담보융자
2026-06-01,37681169,27845647,9835522,46368,42406,3962,0,26211625
2026-06-02,37709128,27924185,9784943,46177,42244,3933,0,26216206
2026-06-04,37737597,28031687,9705910,51336,47352,3984,0,26402454
2026-06-05,37838377,28273482,9564895,46310,41257,5054,0,26243312
2026-06-08,37790396,28326450,9463946,42638,37033,5605,0,26550969
2026-06-09,37929018,28573169,9355849,38193,34212,3981,0,26292257
2026-06-10,36773649,27807841,8965807,34808,31288,3520,0,26048685
2026-06-11,36656474,27874378,8782096,38886,33952,4934,0,24672893
2026-06-12,36879281,28110836,8768446,36302,31923,4379,0,25420553
2026-06-15,37076954,28296079,8780874,31000,26437,4563,0,25097917
2026-06-16,37385632,28531116,8854516,35691,30961,4730,0,25290136
